BisBasQ,BisBasResp,ExpEnd,ExpStart,StudyID,TimeEnd,TimeStart,Feedback,population,subject
bisbas-16,3,1.58E+12,1.58E+12,LWPCtufb:,1969419.8,1755922.83,fb,1,3
bisbas-17,3,1.58E+12,1.58E+12,LWPCtufb:,1969419.81,1755922.83,fb,1,3
bisbas-18,2,1.58E+12,1.58E+12,LWPCtufb:,1969419.82,1755922.83,fb,1,3
bisbas-19,2,1.58E+12,1.58E+12,LWPCtufb:,1969419.83,1755922.83,fb,1,3
bisbas-20,2,1.58E+12,1.58E+12,LWPCtufb:,1969419.84,1755922.83,fb,1,3
bisbas-21,3,1.58E+12,1.58E+12,LWPCtufb:,1969419.855,1755922.83,fb,1,3
bisbas-22,3,1.58E+12,1.58E+12,LWPCtufb:,1969419.865,1755922.83,fb,1,3
bisbas-23,1,1.58E+12,1.58E+12,LWPCtufb:,1969419.875,1755922.83,fb,1,3
bisbas-24,2,1.58E+12,1.58E+12,LWPCtufb:,1969419.89,1755922.83,fb,1,3
bisbas-1,4,1.58E+12,1.58E+12,LWPCtufb:,2069291.865,1855677.385,fb,1,4
bisbas-2,1,1.58E+12,1.58E+12,LWPCtufb:,2069292.05,1855677.385,fb,1,4
bisbas-3,4,1.58E+12,1.58E+12,LWPCtufb:,2069292.065,1855677.385,fb,1,4
bisbas-4,2,1.58E+12,1.58E+12,LWPCtufb:,2069292.075,1855677.385,fb,1,4
bisbas-5,2,1.58E+12,1.58E+12,LWPCtufb:,2069292.1,1855677.385,fb,1,4
bisbas-6,4,1.58E+12,1.58E+12,LWPCtufb:,2069292.115,1855677.385,fb,1,4
bisbas-7,2,1.58E+12,1.58E+12,LWPCtufb:,2069292.12,1855677.385,fb,1,4
bisbas-8,4,1.58E+12,1.58E+12,LWPCtufb:,2069292.14,1855677.385,fb,1,4
bisbas-9,4,1.58E+12,1.58E+12,LWPCtufb:,2069292.155,1855677.385,fb,1,4
bisbas-10,3,1.58E+12,1.58E+12,LWPCtufb:,2069292.165,1855677.385,fb,1,4
bisbas-11,2,1.58E+12,1.58E+12,LWPCtufb:,2069292.18,1855677.385,fb,1,4
bisbas-12,3,1.58E+12,1.58E+12,LWPCtufb:,2069292.19,1855677.385,fb,1,4
bisbas-13,4,1.58E+12,1.58E+12,LWPCtufb:,2069292.205,1855677.385,fb,1,4
bisbas-14,3,1.58E+12,1.58E+12,LWPCtufb:,2069292.215,1855677.385,fb,1,4
bisbas-15,4,1.58E+12,1.58E+12,LWPCtufb:,2069292.235,1855677.385,fb,1,4
bisbas-16,4,1.58E+12,1.58E+12,LWPCtufb:,2069292.25,1855677.385,fb,1,4
bisbas-17,1,1.58E+12,1.58E+12,LWPCtufb:,2069292.265,1855677.385,fb,1,4
bisbas-18,3,1.58E+12,1.58E+12,LWPCtufb:,2069292.28,1855677.385,fb,1,4
