data,Feedback,population,question,subject
NHL,fb,1,Ethnicity,36
W,fb,1,Race,36
demos:Demographics:;,fb,1,TypeResp,37
F,fb,1,Gender,37
69,fb,1,Age,37
NHL,fb,1,Ethnicity,37
W,fb,1,Race,37
demos:Demographics:;,fb,1,TypeResp,38
M,fb,1,Gender,38
54,fb,1,Age,38
NHL,fb,1,Ethnicity,38
AA,fb,1,Race,38
demos:Demographics:;,fb,1,TypeResp,39
F,fb,1,Gender,39
36,fb,1,Age,39
NHL,fb,1,Ethnicity,39
W,fb,1,Race,39
demos:Demographics:;,fb,1,TypeResp,40
F,fb,1,Gender,40
25,fb,1,Age,40
NHL,fb,1,Ethnicity,40
A,fb,1,Race,40
demos:Demographics:;,fb,1,TypeResp,41
M,fb,1,Gender,41
42,fb,1,Age,41
NHL,fb,1,Ethnicity,41
W,fb,1,Race,41
demos:Demographics:;,fb,1,TypeResp,42
F,fb,1,Gender,42
30,fb,1,Age,42
NHL,fb,1,Ethnicity,42
W,fb,1,Race,42
demos:Demographics:;,fb,1,TypeResp,43
M,fb,1,Gender,43
59,fb,1,Age,43
HL,fb,1,Ethnicity,43
AI,fb,1,Race,43
demos:Demographics:;,fb,1,TypeResp,44
M,fb,1,Gender,44
28,fb,1,Age,44
NHL,fb,1,Ethnicity,44
W,fb,1,Race,44
demos:Demographics:;,fb,1,TypeResp,45
F,fb,1,Gender,45
49,fb,1,Age,45
HL,fb,1,Ethnicity,45
M,fb,1,Race,45
demos:Demographics:;,fb,1,TypeResp,46
F,fb,1,Gender,46
48,fb,1,Age,46
NHL,fb,1,Ethnicity,46
A,fb,1,Race,46
demos:Demographics:;,fb,1,TypeResp,47
F,fb,1,Gender,47
27,fb,1,Age,47
HL,fb,1,Ethnicity,47
W,fb,1,Race,47
demos:Demographics:;,fb,1,TypeResp,48
M,fb,1,Gender,48
30,fb,1,Age,48
NHL,fb,1,Ethnicity,48
W,fb,1,Race,48
demos:Demographics:;,fb,1,TypeResp,49
F,fb,1,Gender,49
20,fb,1,Age,49
NHL,fb,1,Ethnicity,49
W,fb,1,Race,49
demos:Demographics:;,fb,1,TypeResp,50
M,fb,1,Gender,50
25,fb,1,Age,50
NHL,fb,1,Ethnicity,50
W,fb,1,Race,50
demos:Demographics:;,fb,1,TypeResp,51
M,fb,1,Gender,51
43,fb,1,Age,51
NHL,fb,1,Ethnicity,51
W,fb,1,Race,51
demos:Demographics:;,fb,1,TypeResp,52
F,fb,1,Gender,52
48,fb,1,Age,52
NHL,fb,1,Ethnicity,52
W,fb,1,Race,52
demos:Demographics:;,fb,1,TypeResp,53
F,fb,1,Gender,53
30,fb,1,Age,53
HL,fb,1,Ethnicity,53
AA,fb,1,Race,53
demos:Demographics:;,fb,1,TypeResp,54
M,fb,1,Gender,54
36,fb,1,Age,54
NHL,fb,1,Ethnicity,54
AI,fb,1,Race,54
demos:Demographics:;,fb,1,TypeResp,55
M,fb,1,Gender,55
51,fb,1,Age,55
NHL,fb,1,Ethnicity,55
W,fb,1,Race,55
demos:Demographics:;,fb,1,TypeResp,56
F,fb,1,Gender,56
23,fb,1,Age,56
HL,fb,1,Ethnicity,56
W,fb,1,Race,56
demos:Demographics:;,fb,1,TypeResp,57
F,fb,1,Gender,57
48,fb,1,Age,57
NHL,fb,1,Ethnicity,57
W,fb,1,Race,57
demos:Demographics:;,fb,1,TypeResp,58
M,fb,1,Gender,58
31,fb,1,Age,58
NA,fb,1,Ethnicity,58
AA,fb,1,Race,58
demos:Demographics:;,fb,1,TypeResp,59
F,fb,1,Gender,59
37,fb,1,Age,59
NHL,fb,1,Ethnicity,59
W,fb,1,Race,59
demos:Demographics:;,fb,1,TypeResp,60
F,fb,1,Gender,60
49,fb,1,Age,60
NHL,fb,1,Ethnicity,60
W,fb,1,Race,60
demos:Demographics:;,fb,1,TypeResp,61
M,fb,1,Gender,61
32,fb,1,Age,61
NHL,fb,1,Ethnicity,61
W,fb,1,Race,61
demos:Demographics:;,fb,1,TypeResp,62
F,fb,1,Gender,62
42,fb,1,Age,62
NHL,fb,1,Ethnicity,62
W,fb,1,Race,62
demos:Demographics:;,fb,1,TypeResp,63
M,fb,1,Gender,63
32,fb,1,Age,63
HL,fb,1,Ethnicity,63
AA,fb,1,Race,63
demos:Demographics:;,fb,1,TypeResp,64
M,fb,1,Gender,64
38,fb,1,Age,64
NHL,fb,1,Ethnicity,64
W,fb,1,Race,64
demos:Demographics:;,fb,1,TypeResp,65
M,fb,1,Gender,65
49,fb,1,Age,65
NHL,fb,1,Ethnicity,65
W,fb,1,Race,65
demos:Demographics:;,fb,1,TypeResp,66
M,fb,1,Gender,66
45,fb,1,Age,66
NHL,fb,1,Ethnicity,66
W,fb,1,Race,66
demos:Demographics:;,fb,1,TypeResp,67
M,fb,1,Gender,67
41,fb,1,Age,67
NHL,fb,1,Ethnicity,67
W,fb,1,Race,67
demos:Demographics:;,fb,1,TypeResp,68
F,fb,1,Gender,68
28,fb,1,Age,68
NHL,fb,1,Ethnicity,68
W,fb,1,Race,68
demos:Demographics:;,fb,1,TypeResp,69
F,fb,1,Gender,69
35,fb,1,Age,69
NHL,fb,1,Ethnicity,69
W,fb,1,Race,69
demos:Demographics:;,fb,1,TypeResp,70
M,fb,1,Gender,70
31,fb,1,Age,70
HL,fb,1,Ethnicity,70
W,fb,1,Race,70
demos:Demographics:;,fb,1,TypeResp,71
M,fb,1,Gender,71
34,fb,1,Age,71
NHL,fb,1,Ethnicity,71
AA,fb,1,Race,71
demos:Demographics:;,fb,1,TypeResp,72
M,fb,1,Gender,72
31,fb,1,Age,72
NHL,fb,1,Ethnicity,72
W,fb,1,Race,72
